Sector,Region,Year,GVA,Employment,Number of business sites
Cultural Sector,West Midlands,2015,688.6423539011106,,2.749
Cultural Sector,West Midlands,2016,705.0828624369259,,
Cultural Sector,West Midlands,2017,,34,
Cultural Sector,Yorkshire and The Humber,2010,557.8433915325152,,
Cultural Sector,Yorkshire and The Humber,2011,521.4779130832463,,
Cultural Sector,Yorkshire and The Humber,2012,470.79434611140965,,
Cultural Sector,Yorkshire and The Humber,2013,482.6649695836746,,
Cultural Sector,Yorkshire and The Humber,2014,471.5555847392393,,2.642
Cultural Sector,Yorkshire and The Humber,2015,468.34656651278164,,2.79
Cultural Sector,Yorkshire and The Humber,2016,442.2556400213205,,
Cultural Sector,Yorkshire and The Humber,2017,,41,
Digital Sector,East,2010,6662.14254890376,,
Digital Sector,East,2011,6682.825944557102,,
Digital Sector,East,2012,7076.4806544339635,,
Digital Sector,East,2013,7637.838961692853,,
Digital Sector,East,2014,8148.078255762556,111,21.52
Digital Sector,East,2015,8031.241558868832,117,22.985
Digital Sector,East,2016,8113.734751562815,115,
Digital Sector,East,2017,,120,
Digital Sector,East Midlands,2010,3138.691156036084,,
Digital Sector,East Midlands,2011,3189.7491707148624,,
Digital Sector,East Midlands,2012,3453.490700883155,,
Digital Sector,East Midlands,2013,3648.384941345666,,
Digital Sector,East Midlands,2014,3649.310120974686,82,9.637
Digital Sector,East Midlands,2015,3549.44988779301,72,10.209
Digital Sector,East Midlands,2016,3633.374000342402,74,
Digital Sector,East Midlands,2017,,76,
Digital Sector,London,2010,33833.916016378476,,
Digital Sector,London,2011,35652.20267042975,,
Digital Sector,London,2012,36142.79182341328,,
Digital Sector,London,2013,39190.62674409603,,
Digital Sector,London,2014,40562.044458360135,352,60.347
Digital Sector,London,2015,40732.599058595864,369,66.686
Digital Sector,London,2016,44383.808023481186,401,
Digital Sector,London,2017,,439,
Digital Sector,North East,2010,2008.9388705773006,,
Digital Sector,North East,2011,2162.5165860905404,,
Digital Sector,North East,2012,2174.1931247017847,,
Digital Sector,North East,2013,2238.738258988633,,
Digital Sector,North East,2014,2470.177004947254,35,3.268
Digital Sector,North East,2015,2753.7447142137844,37,3.511
Digital Sector,North East,2016,2544.8572901528746,36,
Digital Sector,North East,2017,,33,
Digital Sector,North West,2010,6613.726977982286,,
Digital Sector,North West,2011,7375.466079279795,,
Digital Sector,North West,2012,7240.822547401352,,
Digital Sector,North West,2013,7388.259817854981,,
Digital Sector,North West,2014,7447.63659568612,122,15.46
Digital Sector,North West,2015,7886.49979734799,121,16.543
Digital Sector,North West,2016,7936.709321165747,113,
Digital Sector,North West,2017,,121,
Digital Sector,Northern Ireland,2010,1033.6368401669679,,
Digital Sector,Northern Ireland,2011,1144.0776726704837,,
Digital Sector,Northern Ireland,2012,1256.4743664239004,,
Digital Sector,Northern Ireland,2013,1323.615010142625,,
Digital Sector,Northern Ireland,2014,1255.266813267294,20,1.93
Digital Sector,Northern Ireland,2015,1261.866524047437,19,2.092
Digital Sector,Northern Ireland,2016,1381.8418057279557,17,
Digital Sector,Northern Ireland,2017,,19,
Digital Sector,Scotland,2010,4578.964907515657,,
Digital Sector,Scotland,2011,4518.556369416817,,
Digital Sector,Scotland,2012,4671.957810556481,,
Digital Sector,Scotland,2013,4914.384798321854,,
Digital Sector,Scotland,2014,5004.3028944098005,81,10.233
Digital Sector,Scotland,2015,5185.073220568397,87,11.153
Digital Sector,Scotland,2016,5368.271249050246,98,
Digital Sector,Scotland,2017,,101,
Digital Sector,South East,2010,21383.73802110377,,
Digital Sector,South East,2011,23369.28044664816,,
Digital Sector,South East,2012,24239.624217546985,,
Digital Sector,South East,2013,24807.255858791737,,
Digital Sector,South East,2014,23514.512820403776,268,42.756
Digital Sector,South East,2015,24517.926225503714,270,45.645
Digital Sector,South East,2016,25818.49418323281,264,
Digital Sector,South East,2017,,261,
Digital Sector,South West,2010,4824.32904267822,,
Digital Sector,South West,2011,4720.586603342209,,
Digital Sector,South West,2012,5020.448733349745,,
Digital Sector,South West,2013,4828.159146189123,,
Digital Sector,South West,2014,5476.914348576876,117,16.15
Digital Sector,South West,2015,5178.966152765683,123,16.942
Digital Sector,South West,2016,5377.2914031734745,118,
Digital Sector,South West,2017,,108,
Digital Sector,Wales,2010,1712.703873911853,,
Digital Sector,Wales,2011,1794.3769290435139,,
Digital Sector,Wales,2012,1810.4933495631617,,
Digital Sector,Wales,2013,1781.340093765829,,
Digital Sector,Wales,2014,1847.9446926538526,40,4.667
Digital Sector,Wales,2015,1963.6806221686195,34,4.92
Digital Sector,Wales,2016,2135.548839449654,37,
Digital Sector,Wales,2017,,44,
Digital Sector,West Midlands,2010,4874.8642099117915,,
Digital Sector,West Midlands,2011,4781.824087945717,,
